r,coarse,medium,fine
-16,306.86,368.27,410.87
-15.68,312.7,379.96,432.59
-15.36,318.54,392.31,452.23
-15.04,327.85,406.19,472.1
-14.72,338.99,420.94,494.14
-14.4,350.12,435.91,516.57
-14.08,364.61,450.88,538.23
-13.76,381.07,466.13,557.31
-13.44,397.54,481.86,571.67
-13.12,415.65,498.56,582.88
-12.8,434.86,516.05,595.89
-12.48,454.07,534.31,611.35
-12.16,473.13,553.36,625.58
-11.84,492.08,572.65,638.01
-11.52,511.02,591.88,648.22
-11.2,529.79,610.54,657.67
-10.88,548.4,627.49,666.11
-10.56,567,643.69,672.35
-10.24,585.93,659.29,677.47
-9.92,605.16,674.4,684.54
-9.6,624.39,689.36,695.02
-9.28,645.41,703.87,704.92
-8.96,668.31,716.25,711.28
-8.64,691.19,725.66,716.31
-8.32,712.53,732.64,719.53
-8,732.06,736.53,720.87
-7.68,751.59,737.67,722.22
-7.36,771.96,739.02,723.43
-7.04,803.24,743.25,728.72
-6.72,841.77,749.34,739.68
-6.4,874,756.7,754.93
-6.08,910.11,765.66,772.61
-5.76,944.42,776.51,791.57
-5.44,982.91,790.3,813.95
-5.12,1017.1,808.37,840.75
-4.8,1054.5,832.11,872.84
-4.48,1086.8,862.08,909.21
-4.16,1120.8,897.28,947.85
-3.84,1151.9,935.63,991.46
-3.52,1184,976.27,1041.3
-3.2,1214.4,1018.8,1092.7
-2.88,1244.2,1062.5,1136.3
-2.56,1270,1105.8,1178.2
-2.24,1290.3,1147.4,1216.4
-1.92,1305.7,1184.8,1244.5
-1.6,1313.6,1215.3,1279.7
-1.28,1318.6,1235.3,1308
-0.96,1318.5,1243.6,1312
-0.64,1317.1,1244,1304.3
-0.32,1315,1241.8,1292.3
0,1312.7,1242.8,1285.6
0.32,1312.1,1246.7,1275.3
0.64,1311.3,1249.2,1269.1
0.96,1311.8,1248.2,1272.3
1.28,1311,1235.9,1266.3
1.6,1307,1212,1246
1.92,1300.4,1180.8,1219.4
2.24,1288,1143.7,1182.6
2.56,1271.6,1102.7,1134.5
2.88,1250.2,1057.8,1091.3
3.2,1224.7,1012,1052.3
3.52,1197.8,968.8,1012.6
3.84,1168.3,929.19,974.52
4.16,1139,894.25,940.23
4.48,1105.2,864.36,908
4.8,1073.7,839.12,876.72
5.12,1036.2,817.9,844.74
5.44,1001.8,800.52,813.79
5.76,962.62,787.25,788.94
6.08,927.4,778.55,771.06
6.4,889.86,772.63,758.54
6.72,856.36,767.74,749.5
7.04,817.12,762.36,741.06
7.36,785.58,756.7,733.26
7.68,764.83,753.15,728.02
8,744.64,749.31,722.04
8.32,724.45,741.85,716.95
8.64,701.79,731.72,712.94
8.96,676.97,719.63,708.25
9.28,652.15,705.33,703.09
9.6,629.16,690,698.33
9.92,607.94,674.58,691.1
10.24,586.72,659.2,682.54
10.56,566.73,641.84,673.98
10.88,548.08,623.35,664.99
11.2,529.41,603.92,654.66
11.52,511.18,583.75,642.36
11.84,493.44,563.74,628.14
12.16,475.7,544.13,614.41
12.48,457.65,525.24,602.25
12.8,439.18,506.78,590.08
13.12,420.7,488.75,578.48
13.44,403.01,471.22,567.6
13.76,386.51,454.74,555.3
14.08,370,438.81,540.62
14.4,355.31,423.4,524.67
14.72,343.7,408.68,507.59
15.04,332.07,395.34,488.43
15.36,322.22,383.41,467.03
15.68,315.76,373.38,443.31
16,309.3,363.57,419.61
