r,coarse,medium,fine
-16,125.31,268.37,337.96
-15.68,141.82,279.08,351.43
-15.36,156.6,288.19,363.94
-15.04,169.71,296.47,375.07
-14.72,181.67,304.01,385.21
-14.4,192.89,310.59,393.8
-14.08,204.01,316.95,400.88
-13.76,214.86,323.21,407.4
-13.44,225.18,329.41,413.27
-13.12,235.56,335.43,418.21
-12.8,245.82,341.11,422.83
-12.48,255.67,346.5,425.84
-12.16,265.49,351.69,427.47
-11.84,275.2,357.35,429.06
-11.52,284.58,363.31,429.71
-11.2,294.23,369.65,430.31
-10.88,304.02,375.46,432.29
-10.56,313.51,380.83,434.43
-10.24,323.39,385.72,436.29
-9.92,333.56,390.71,439.12
-9.6,343.44,395.63,443.21
-9.28,353.7,400.45,447.44
-8.96,364.31,405.03,450.85
-8.64,374.64,410.11,452.41
-8.32,384.23,415.6,451.73
-8,393.07,421.67,451.12
-7.68,401.73,427.16,451.87
-7.36,410.44,433.43,455.17
-7.04,423.53,442.86,460.81
-6.72,438.37,449.87,466.79
-6.4,447.7,456.66,473.5
-6.08,457.55,463.24,481.54
-5.76,465.29,469.79,489.6
-5.44,472.87,476.68,499.03
-5.12,477.19,483.65,509.1
-4.8,481.07,490.18,514.05
-4.48,481.59,496.39,517.16
-4.16,481.03,503.16,522.25
-3.84,477.45,510.35,528.93
-3.52,472.08,516.15,534.91
-3.2,464.15,519.02,535.08
-2.88,453.82,519.04,532.04
-2.56,441.59,515.93,529.01
-2.24,427.32,508.47,524.2
-1.92,411.26,497.47,513.74
-1.6,393.91,485.19,504.27
-1.28,376.16,472.95,490.46
-0.96,362.3,461.15,469.52
-0.64,349.43,449.09,457.18
-0.32,344.71,439,455.66
0,339.74,432.68,459.02
0.32,346.33,432.47,460.43
0.64,352.98,438.75,469.14
0.96,367.55,450.12,484.02
1.28,381.6,465.21,496.78
1.6,398.12,482.6,507.29
1.92,414.23,498.55,518.03
2.24,429.84,512.22,522.69
2.56,444.21,522.26,523.42
2.88,455.9,527.44,521.64
3.2,465.05,528.05,518.98
3.52,471.84,525.19,516.89
3.84,475.91,520.32,511.79
4.16,478.21,513.73,505.03
4.48,477.69,506.1,500.21
4.8,476.29,498.79,494.44
5.12,472.96,492.05,490.96
5.44,469.52,485.43,487.01
5.76,464.03,478.96,478.81
6.08,458.75,472.57,468.5
6.4,451.1,465.99,459.29
6.72,443.75,458.96,452.22
7.04,430.44,451.4,445.11
7.36,418.39,441.3,440.3
7.68,410.32,434.42,437.51
8,402.29,428.21,436.86
8.32,394.1,421.18,437.43
8.64,385.1,414.63,438.77
8.96,375.34,408.47,439.98
9.28,365.32,402.8,440.19
9.6,355.45,397.66,437.71
9.92,345.73,392.89,432.93
10.24,335.74,388.52,427.55
10.56,325.86,384.63,422.12
10.88,316.15,380.83,416.1
11.2,306.14,377.04,411.62
11.52,296.25,372.96,409.21
11.84,286.61,368.16,406.47
12.16,276.63,362.87,403.77
12.48,266.87,357.09,402.29
12.8,257.57,350.99,400.54
13.12,247.93,344.49,397.37
13.44,238.19,337.57,392.26
13.76,228.51,330.22,385.79
14.08,218.4,322.74,379.21
14.4,207.65,314.98,372.91
14.72,196.04,306.57,368.17
15.04,183.69,297.06,363.76
15.36,170.04,287.19,357.78
15.68,154.31,277.45,349.7
16,136.79,267.28,339.38
