r,coarse,medium,fine
-16,0.079574,0.18327,0.19769
-15.68,0.054295,0.13481,0.14047
-15.36,0.029015,0.11544,0.096376
-15.04,0.024814,0.10947,0.078871
-14.72,0.031652,0.1141,0.086283
-14.4,0.03849,0.13073,0.10298
-14.08,0.053247,0.14517,0.12308
-13.76,0.072672,0.1572,0.14328
-13.44,0.092097,0.16615,0.1615
-13.12,0.11103,0.17072,0.17554
-12.8,0.12965,0.17413,0.18429
-12.48,0.14825,0.17669,0.18702
-12.16,0.1654,0.17897,0.18699
-11.84,0.18148,0.18094,0.18572
-11.52,0.19756,0.18236,0.18391
-11.2,0.21236,0.18261,0.18085
-10.88,0.22609,0.18066,0.17677
-10.56,0.23983,0.17699,0.17281
-10.24,0.25283,0.1715,0.16949
-9.92,0.26515,0.16419,0.16707
-9.6,0.27746,0.15652,0.16623
-9.28,0.28972,0.14894,0.16591
-8.96,0.3019,0.1435,0.16585
-8.64,0.31408,0.13931,0.16645
-8.32,0.32569,0.13715,0.16793
-8,0.33664,0.1388,0.17009
-7.68,0.34758,0.14405,0.17317
-7.36,0.35767,0.14971,0.17627
-7.04,0.37286,0.15331,0.17691
-6.72,0.38994,0.1523,0.17756
-6.4,0.39719,0.14931,0.17785
-6.08,0.40593,0.14439,0.1776
-5.76,0.40775,0.13832,0.17611
-5.44,0.41165,0.1315,0.17364
-5.12,0.40779,0.12476,0.17245
-4.8,0.40505,0.11872,0.17286
-4.48,0.39649,0.11281,0.17294
-4.16,0.38691,0.10665,0.17067
-3.84,0.37312,0.10048,0.16768
-3.52,0.35662,0.094848,0.16529
-3.2,0.33739,0.089955,0.15924
-2.88,0.31568,0.08541,0.14832
-2.56,0.29373,0.080987,0.13814
-2.24,0.27224,0.077125,0.13343
-1.92,0.25272,0.073746,0.13338
-1.6,0.23732,0.070434,0.13335
-1.28,0.22354,0.067151,0.12927
-0.96,0.2143,0.064489,0.12038
-0.64,0.20525,0.062336,0.11226
-0.32,0.2011,0.059731,0.1082
0,0.19674,0.057093,0.10751
0.32,0.1997,0.055982,0.10679
0.64,0.20258,0.056524,0.10689
0.96,0.21161,0.0582,0.11066
1.28,0.22135,0.06085,0.1166
1.6,0.23669,0.064475,0.12117
1.92,0.25341,0.069012,0.12394
2.24,0.27281,0.073139,0.12663
2.56,0.29275,0.075125,0.12971
2.88,0.31229,0.07585,0.13589
3.2,0.33125,0.078089,0.14498
3.52,0.34817,0.08346,0.15468
3.84,0.36308,0.091223,0.16498
4.16,0.37519,0.099658,0.17445
4.48,0.38377,0.10761,0.18061
4.8,0.39019,0.11491,0.18383
5.12,0.39326,0.12227,0.18587
5.44,0.39509,0.13053,0.18688
5.76,0.39358,0.13933,0.18754
6.08,0.39128,0.14814,0.18778
6.4,0.38491,0.15595,0.1869
6.72,0.37832,0.1613,0.18451
7.04,0.36321,0.16418,0.1815
7.36,0.3492,0.16201,0.17824
7.68,0.33971,0.15738,0.1746
8,0.33044,0.15324,0.17323
8.32,0.32117,0.15212,0.17246
8.64,0.3116,0.15341,0.17234
8.96,0.30175,0.15592,0.17442
9.28,0.29191,0.15902,0.1793
9.6,0.28104,0.16362,0.18523
9.92,0.26919,0.16859,0.19037
10.24,0.25734,0.17374,0.19551
10.56,0.24471,0.17872,0.20094
10.88,0.23121,0.18233,0.2052
11.2,0.21773,0.18447,0.20804
11.52,0.20425,0.184,0.21003
11.84,0.19079,0.18156,0.21188
12.16,0.17733,0.17812,0.21252
12.48,0.16217,0.17398,0.20878
12.8,0.14469,0.17009,0.20059
13.12,0.1272,0.16573,0.18663
13.44,0.10814,0.1606,0.16729
13.76,0.086709,0.15163,0.14457
14.08,0.065277,0.14036,0.12203
14.4,0.048181,0.12717,0.1018
14.72,0.038439,0.11183,0.08719
15.04,0.028696,0.10775,0.083107
15.36,0.030965,0.11396,0.10217
15.68,0.056163,0.13341,0.14388
16,0.081362,0.18168,0.19509
