r,coarse,medium,fine
-16,0.10237,0.07434,0.077926
-15.68,0.099068,0.067486,0.072418
-15.36,0.095767,0.061348,0.068025
-15.04,0.090018,0.054878,0.063176
-14.72,0.082984,0.048097,0.058095
-14.4,0.075951,0.040854,0.053636
-14.08,0.069214,0.033618,0.049618
-13.76,0.062653,0.026394,0.045156
-13.44,0.056091,0.019183,0.039634
-13.12,0.049129,0.011317,0.033079
-12.8,0.041902,0.0035426,0.027244
-12.48,0.034674,-0.0040326,0.020769
-12.16,0.027395,-0.010855,0.013536
-11.84,0.02008,-0.017762,0.0057786
-11.52,0.012764,-0.024683,-0.0033674
-11.2,0.0057736,-0.03153,-0.014954
-10.88,-0.00094635,-0.037415,-0.027688
-10.56,-0.0076665,-0.043213,-0.040105
-10.24,-0.013594,-0.049159,-0.050453
-9.92,-0.018791,-0.055259,-0.058445
-9.6,-0.023987,-0.060355,-0.064759
-9.28,-0.026913,-0.064164,-0.069397
-8.96,-0.027498,-0.064789,-0.07061
-8.64,-0.028082,-0.064023,-0.06955
-8.32,-0.025768,-0.061332,-0.065311
-8,-0.020115,-0.055261,-0.05594
-7.68,-0.014462,-0.044573,-0.041488
-7.36,-0.0075664,-0.033257,-0.025728
-7.04,-0.0004719,-0.026847,-0.021402
-6.72,0.0026731,-0.028737,-0.020426
-6.4,-0.0001966,-0.030584,-0.020067
-6.08,-0.0034871,-0.033755,-0.020911
-5.76,-0.0042724,-0.036492,-0.022581
-5.44,-0.0063089,-0.03974,-0.023647
-5.12,-0.0061269,-0.042373,-0.024598
-4.8,-0.0069071,-0.044156,-0.026939
-4.48,-0.0065188,-0.044932,-0.028217
-4.16,-0.0068949,-0.045042,-0.029798
-3.84,-0.0067398,-0.04365,-0.031726
-3.52,-0.0069851,-0.039447,-0.03344
-3.2,-0.0063129,-0.031888,-0.034468
-2.88,-0.0052061,-0.022588,-0.034502
-2.56,-0.0038426,-0.013186,-0.033544
-2.24,-0.0023095,-0.004673,-0.030643
-1.92,-0.0012814,0.0016781,-0.026344
-1.6,-0.0006945,0.0051683,-0.021758
-1.28,-0.00064271,0.0066487,-0.01847
-0.96,-0.0015216,0.0068474,-0.014957
-0.64,-0.0025925,0.0066362,-0.012865
-0.32,-0.003303,0.0071206,-0.012911
0,-0.0040132,0.0083146,-0.012725
0.32,-0.0038824,0.0087192,-0.011813
0.64,-0.0035008,0.0078217,-0.00901
0.96,-0.0028317,0.0057356,-0.0061115
1.28,-0.002018,0.00376,-0.0048
1.6,-0.001806,0.0032716,-0.0048255
1.92,-0.0016251,0.0051801,-0.003812
2.24,-0.0017886,0.0093451,-0.00292
2.56,-0.0022664,0.015184,-0.0027065
2.88,-0.0028225,0.022084,-0.0023155
3.2,-0.0035153,0.028718,-0.00093
3.52,-0.0040593,0.034374,8.95e-05
3.84,-0.0042404,0.038915,-0.0001917
4.16,-0.0044102,0.04208,-0.0005169
4.48,-0.0046082,0.043628,-0.00044657
4.8,-0.0048147,0.043815,-0.0024582
5.12,-0.0048439,0.042942,-0.0042282
5.44,-0.0046763,0.041281,-0.0045344
5.76,-0.0045702,0.038969,-0.0048477
6.08,-0.0034,0.037124,-0.0055987
6.4,-0.0043,0.035359,-0.0053319
6.72,-0.0050991,0.035754,-0.0052049
7.04,0.00023265,0.036143,-0.0061286
7.36,0.0094123,0.044877,-0.0052683
7.68,0.017121,0.057572,0.005181
8,0.022796,0.069311,0.013309
8.32,0.028472,0.07601,0.017514
8.64,0.031171,0.078279,0.01971
8.96,0.031287,0.077894,0.021265
9.28,0.031403,0.075359,0.022412
9.6,0.028747,0.070283,0.022332
9.92,0.023405,0.063936,0.021329
10.24,0.018062,0.056459,0.019661
10.56,0.011623,0.047978,0.016953
10.88,0.0039969,0.040106,0.012937
11.2,-0.003629,0.032609,0.0078607
11.52,-0.01073,0.024886,0.0016559
11.84,-0.017196,0.016654,-0.0059334
12.16,-0.023664,0.0082237,-0.014037
12.48,-0.030243,-0.00024919,-0.021715
12.8,-0.036974,-0.0086493,-0.02789
13.12,-0.043704,-0.016828,-0.032619
13.44,-0.050245,-0.024732,-0.037098
13.76,-0.0565,-0.031974,-0.041797
14.08,-0.062756,-0.039411,-0.047459
14.4,-0.068904,-0.046934,-0.053138
14.72,-0.074871,-0.054306,-0.057943
15.04,-0.080837,-0.061445,-0.062176
15.36,-0.086319,-0.068308,-0.066329
15.68,-0.090877,-0.074779,-0.070736
16,-0.095436,-0.081265,-0.075529
