,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,565.51,448.4417,0.4605,0.4063,0.0957,0.5757,88.2472,-0.0456
1,-15.97,566.4,449.0546,0.4611,0.4074,0.0954,0.5784,88.7212,-0.046
2,-15.94,567.28,449.6665,0.4616,0.4086,0.0951,0.581,89.202,-0.0464
3,-15.9,568.17,450.2777,0.4622,0.4097,0.0948,0.5837,89.6564,-0.0467
4,-15.87,569.05,450.888,0.4628,0.4108,0.0945,0.5864,90.122,-0.0471
5,-15.84,569.94,451.4975,0.4634,0.412,0.0942,0.5891,90.5826,-0.0475
6,-15.81,570.82,452.1062,0.4639,0.4131,0.0939,0.5918,91.0387,-0.0479
7,-15.78,571.71,452.714,0.4645,0.4142,0.0936,0.5945,91.4798,-0.0482
8,-15.74,572.59,453.3211,0.4651,0.4153,0.0933,0.5972,91.9264,-0.0486
9,-15.71,573.48,453.9273,0.4656,0.4164,0.093,0.5999,92.3623,-0.049
10,-15.68,574.36,454.5327,0.4662,0.4175,0.0927,0.6025,92.8051,-0.0494
11,-15.65,575.24,455.1373,0.4668,0.4186,0.0924,0.6052,93.2275,-0.0497
12,-15.62,576.13,455.7412,0.4673,0.4197,0.0921,0.6079,93.6491,-0.0501
13,-15.58,577.01,456.3442,0.4679,0.4208,0.0918,0.6106,94.0777,-0.0505
14,-15.55,577.9,456.9464,0.4685,0.4219,0.0915,0.6133,94.4897,-0.0509
15,-15.52,578.74,457.4167,0.469,0.4231,0.0912,0.616,94.9646,-0.0513
16,-15.49,579.57,457.8755,0.4695,0.4243,0.0909,0.6188,95.4453,-0.0517
17,-15.46,580.41,458.3339,0.47,0.4255,0.0906,0.6215,95.9152,-0.0521
18,-15.42,581.25,458.781,0.4705,0.4267,0.0902,0.6242,96.3705,-0.0526
19,-15.39,582.08,459.2385,0.4711,0.4279,0.0899,0.627,96.8375,-0.053
20,-15.36,582.92,459.6956,0.4716,0.4291,0.0896,0.6297,97.2936,-0.0534
21,-15.33,583.76,460.1521,0.4721,0.4303,0.0893,0.6324,97.751,-0.0539
22,-15.3,584.59,460.6083,0.4726,0.4315,0.089,0.6352,98.2043,-0.0543
23,-15.26,585.43,461.064,0.4731,0.4327,0.0887,0.6379,98.6466,-0.0547
24,-15.23,586.27,461.5084,0.4736,0.4338,0.0884,0.6407,99.0844,-0.0551
25,-15.2,587.1,461.9632,0.4741,0.435,0.0881,0.6434,99.514,-0.0556
26,-15.17,587.94,462.4176,0.4746,0.4362,0.0877,0.6462,99.9426,-0.056
27,-15.14,588.78,462.8715,0.4751,0.4373,0.0874,0.6489,100.3665,-0.0564
28,-15.1,589.61,463.3249,0.4756,0.4385,0.0871,0.6516,100.7983,-0.0569
29,-15.07,590.45,463.7672,0.4762,0.4397,0.0868,0.6544,101.2131,-0.0573
30,-15.04,591.28,464.1767,0.4767,0.4408,0.0865,0.6571,101.6099,-0.0577
31,-15.01,592.12,464.4674,0.4771,0.4419,0.0861,0.6598,101.9555,-0.0582
32,-14.98,592.95,464.758,0.4776,0.4429,0.0858,0.6626,102.3032,-0.0587
33,-14.94,593.78,465.0484,0.4781,0.444,0.0854,0.6653,102.6563,-0.0591
34,-14.91,594.61,465.3386,0.4786,0.4451,0.0851,0.6681,102.9948,-0.0596
35,-14.88,595.45,465.6286,0.4791,0.4462,0.0847,0.6708,103.3221,-0.06
36,-14.85,596.28,465.9184,0.4796,0.4472,0.0844,0.6735,103.6616,-0.0605
37,-14.82,597.11,466.2081,0.4801,0.4483,0.084,0.6763,103.9864,-0.0609
38,-14.78,597.94,466.5083,0.4806,0.4493,0.0837,0.679,104.3068,-0.0614
39,-14.75,598.78,466.7976,0.4811,0.4504,0.0833,0.6818,104.6257,-0.0619
40,-14.72,599.61,467.0867,0.4815,0.4515,0.083,0.6845,104.937,-0.0623
41,-14.69,600.44,467.3757,0.482,0.4525,0.0826,0.6872,105.2436,-0.0628
42,-14.66,601.28,467.6644,0.4825,0.4536,0.0823,0.69,105.5488,-0.0632
43,-14.62,602.11,467.953,0.483,0.4546,0.0819,0.6927,105.8524,-0.0637
44,-14.59,602.94,468.2414,0.4835,0.4556,0.0816,0.6954,106.1454,-0.0641
45,-14.56,603.77,468.5296,0.484,0.4567,0.0813,0.6982,106.4438,-0.0646
46,-14.53,604.59,468.7963,0.4845,0.4577,0.0809,0.7009,106.7087,-0.0651
47,-14.5,605.39,469.0309,0.4849,0.4586,0.0805,0.7037,106.9731,-0.0655
48,-14.46,606.19,469.276,0.4854,0.4595,0.0801,0.7064,107.2331,-0.0659
49,-14.43,606.99,469.5104,0.4858,0.4605,0.0797,0.7092,107.4888,-0.0664
50,-14.4,607.79,469.7446,0.4863,0.4614,0.0794,0.7119,107.74,-0.0668
51,-14.37,608.59,469.9894,0.4868,0.4623,0.079,0.7147,107.9868,-0.0673
52,-14.34,609.39,470.2234,0.4872,0.4633,0.0786,0.7174,108.2292,-0.0677
53,-14.3,610.19,470.4679,0.4877,0.4642,0.0782,0.7202,108.4673,-0.0682
54,-14.27,610.99,470.7016,0.4881,0.4651,0.0778,0.7229,108.7009,-0.0686
55,-14.24,611.79,470.9459,0.4886,0.4661,0.0774,0.7257,108.9362,-0.0691
56,-14.21,612.59,471.1794,0.489,0.467,0.0771,0.7284,109.1611,-0.0695
57,-14.18,613.39,471.4234,0.4895,0.4679,0.0767,0.7312,109.3815,-0.07
58,-14.14,614.2,471.6567,0.49,0.4688,0.0763,0.7339,109.5902,-0.0704
59,-14.11,615.0,471.9004,0.4904,0.4697,0.0759,0.7367,109.8018,-0.0709
60,-14.08,615.8,472.1335,0.4909,0.4707,0.0755,0.7394,110.009,-0.0713
61,-14.05,616.6,472.377,0.4913,0.4716,0.0751,0.7422,110.2118,-0.0718
62,-14.02,617.32,472.705,0.4917,0.4725,0.0748,0.7449,110.5483,-0.0722
63,-13.98,618.03,473.0539,0.4921,0.4735,0.0744,0.7476,110.9084,-0.0726
64,-13.95,618.75,473.392,0.4925,0.4744,0.074,0.7503,111.2471,-0.0731
65,-13.92,619.46,473.7404,0.4928,0.4754,0.0736,0.753,111.6056,-0.0735
66,-13.89,620.18,474.0886,0.4932,0.4763,0.0732,0.7558,111.9366,-0.074
67,-13.86,620.89,474.426,0.4936,0.4773,0.0728,0.7585,112.2711,-0.0744
68,-13.82,621.61,474.7736,0.494,0.4782,0.0724,0.7612,112.6105,-0.0749
69,-13.79,622.32,475.1105,0.4943,0.4792,0.072,0.7639,112.9373,-0.0753
70,-13.76,623.04,475.4577,0.4947,0.4801,0.0716,0.7666,113.2526,-0.0758
71,-13.73,623.75,475.7941,0.4951,0.481,0.0712,0.7694,113.5879,-0.0762
72,-13.7,624.46,476.1407,0.4955,0.482,0.0708,0.7721,113.9032,-0.0766
73,-13.66,625.18,476.4871,0.4959,0.4829,0.0704,0.7748,114.2168,-0.0771
74,-13.63,625.89,476.8228,0.4962,0.4838,0.07,0.7775,114.5243,-0.0775
75,-13.6,626.61,477.1687,0.4966,0.4848,0.0696,0.7802,114.8263,-0.078
76,-13.57,627.32,477.5039,0.497,0.4857,0.0692,0.7829,115.1361,-0.0784
77,-13.54,628.01,477.8598,0.4973,0.4866,0.0688,0.7856,115.4602,-0.0788
78,-13.5,628.61,478.2677,0.4976,0.4874,0.0685,0.7883,115.893,-0.0793
79,-13.47,629.21,478.6753,0.4979,0.4882,0.0681,0.7909,116.3226,-0.0797
80,-13.44,629.8,479.0825,0.4982,0.4891,0.0677,0.7936,116.7633,-0.0801
81,-13.41,630.4,479.4893,0.4984,0.4899,0.0674,0.7962,117.1866,-0.0805
82,-13.38,631.0,479.8958,0.4987,0.4907,0.067,0.7989,117.5967,-0.0809
83,-13.34,631.59,480.302,0.499,0.4915,0.0667,0.8015,118.028,-0.0813
84,-13.31,632.19,480.7078,0.4993,0.4923,0.0663,0.8042,118.4418,-0.0817
85,-13.28,632.79,481.1133,0.4995,0.4931,0.066,0.8068,118.8587,-0.0822
86,-13.25,633.38,481.5184,0.4998,0.494,0.0656,0.8095,119.2742,-0.0826
87,-13.22,633.98,481.9232,0.5001,0.4948,0.0653,0.8121,119.6785,-0.083
88,-13.18,634.58,482.3277,0.5004,0.4956,0.0649,0.8148,120.0859,-0.0834
89,-13.15,635.17,482.7318,0.5006,0.4964,0.0646,0.8174,120.482,-0.0838
90,-13.12,635.77,483.1356,0.5009,0.4972,0.0642,0.82,120.8768,-0.0842
91,-13.09,636.37,483.539,0.5012,0.498,0.0638,0.8227,121.2748,-0.0846
92,-13.06,636.96,483.9421,0.5015,0.4988,0.0635,0.8253,121.6714,-0.085
93,-13.02,637.48,484.2623,0.5017,0.4994,0.0632,0.8279,121.9939,-0.0854
94,-12.99,637.92,484.4894,0.5018,0.4998,0.0629,0.8304,122.2549,-0.0857
95,-12.96,638.36,484.7267,0.502,0.5003,0.0626,0.8329,122.5136,-0.086
96,-12.93,638.79,484.9536,0.5021,0.5007,0.0624,0.8354,122.7784,-0.0862
97,-12.9,639.23,485.1804,0.5023,0.5012,0.0621,0.8379,123.0328,-0.0865
98,-12.86,639.67,485.407,0.5024,0.5016,0.0618,0.8404,123.2849,-0.0868
99,-12.83,640.11,485.6439,0.5025,0.5021,0.0616,0.8429,123.5249,-0.0871
100,-12.8,640.55,485.8704,0.5027,0.5025,0.0613,0.8454,123.7726,-0.0874
101,-12.77,640.98,486.0967,0.5028,0.5029,0.061,0.8479,124.0266,-0.0876
102,-12.74,641.42,486.3332,0.503,0.5034,0.0607,0.8504,124.2764,-0.0879
103,-12.7,641.86,486.5593,0.5031,0.5038,0.0605,0.8529,124.5176,-0.0882
104,-12.67,642.3,486.7854,0.5032,0.5042,0.0602,0.8554,124.7566,-0.0885
105,-12.64,642.74,487.0113,0.5034,0.5047,0.0599,0.8579,124.9834,-0.0888
106,-12.61,643.17,487.2474,0.5035,0.5051,0.0597,0.8604,125.2265,-0.089
107,-12.58,643.61,487.4731,0.5037,0.5056,0.0594,0.8629,125.4589,-0.0893
108,-12.54,644.05,487.6987,0.5038,0.506,0.0591,0.8654,125.6891,-0.0896
109,-12.51,644.35,487.7499,0.5038,0.5062,0.0589,0.8677,125.7433,-0.0897
110,-12.48,644.61,487.7499,0.5037,0.5064,0.0587,0.8699,125.7431,-0.0898
111,-12.45,644.88,487.7499,0.5036,0.5066,0.0585,0.8721,125.7395,-0.0898
112,-12.42,645.14,487.7499,0.5036,0.5067,0.0583,0.8743,125.7535,-0.0898
113,-12.38,645.4,487.7499,0.5035,0.5069,0.0581,0.8765,125.7563,-0.0899
114,-12.35,645.66,487.7499,0.5034,0.5071,0.0579,0.8787,125.7515,-0.0899
