z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 2.0,     0.22,     0.14,    -0.01,     0.16,  1029.61,    93.64
 4.0,     0.56,     0.19,    -0.00,     0.17,  1042.34,   119.43
 6.0,     0.87,     0.23,    -0.00,     0.16,  1016.40,   138.43
 8.0,     1.15,     0.30,    -0.01,     0.15,   992.12,   151.93
10.0,     1.39,     0.37,    -0.01,     0.16,   975.51,   163.09
12.0,     1.60,     0.44,    -0.01,     0.16,   965.02,   173.86
14.0,     1.79,     0.51,    -0.01,     0.17,   958.69,   184.95
16.0,     1.96,     0.57,    -0.01,     0.18,   955.06,   196.27
18.0,     2.10,     0.63,    -0.01,     0.19,   952.91,   207.57
20.0,     2.24,     0.67,    -0.01,     0.20,   951.20,   218.55
22.0,     2.35,     0.72,    -0.00,     0.22,   949.13,   228.98
24.0,     2.46,     0.76,    -0.00,     0.23,   946.26,   238.53
26.0,     2.56,     0.80,    -0.00,     0.24,   942.30,   247.07
28.0,     2.65,     0.83,    -0.00,     0.25,   937.12,   254.60
30.0,     2.73,     0.87,    -0.00,     0.26,   931.00,   261.04
32.0,     2.80,     0.90,     0.00,     0.27,   923.74,   266.49
34.0,     2.86,     0.93,     0.00,     0.28,   915.14,   271.18
36.0,     2.92,     0.96,     0.00,     0.29,   905.48,   275.13
38.0,     2.97,     1.00,     0.00,     0.29,   894.94,   278.32
40.0,     3.01,     1.03,     0.00,     0.30,   883.52,   280.72
42.0,     3.05,     1.06,     0.00,     0.31,   871.17,   282.32
44.0,     3.08,     1.08,     0.00,     0.32,   857.97,   283.17
46.0,     3.11,     1.11,     0.00,     0.33,   843.88,   283.28
48.0,     3.13,     1.14,     0.00,     0.33,   829.07,   282.65
50.0,     3.15,     1.16,     0.00,     0.34,   813.73,   281.29
52.0,     3.16,     1.19,     0.00,     0.35,   797.95,   279.21
54.0,     3.17,     1.21,     0.00,     0.35,   781.82,   276.40
56.0,     3.17,     1.23,     0.00,     0.36,   765.32,   272.81
58.0,     3.16,     1.25,     0.00,     0.37,   748.60,   268.56
60.0,     3.16,     1.26,     0.00,     0.37,   731.82,   263.69
62.0,     3.14,     1.28,     0.00,     0.38,   715.18,   258.31
64.0,     3.13,     1.29,     0.00,     0.39,   698.69,   252.45
66.0,     3.11,     1.30,     0.00,     0.39,   682.46,   246.18
68.0,     3.09,     1.31,     0.00,     0.40,   666.69,   239.50
70.0,     3.07,     1.31,     0.00,     0.41,   651.45,   232.45
72.0,     3.05,     1.31,     0.00,     0.41,   636.73,   225.16
74.0,     3.02,     1.31,    -0.00,     0.42,   622.57,   217.71
76.0,     3.00,     1.31,    -0.00,     0.42,   608.92,   210.28
78.0,     2.97,     1.31,    -0.00,     0.43,   595.80,   202.93
80.0,     2.94,     1.31,    -0.01,     0.43,   583.22,   195.64
82.0,     2.91,     1.30,    -0.01,     0.44,   571.08,   188.46
84.0,     2.89,     1.29,    -0.01,     0.44,   559.45,   181.42
86.0,     2.86,     1.29,    -0.01,     0.44,   548.30,   174.55
88.0,     2.83,     1.28,    -0.01,     0.45,   537.65,   167.83
90.0,     2.80,     1.27,    -0.01,     0.45,   527.50,   161.27
92.0,     2.77,     1.25,    -0.01,     0.46,   517.84,   154.87
94.0,     2.74,     1.24,    -0.01,     0.46,   508.62,   148.65
96.0,     2.71,     1.23,    -0.01,     0.46,   499.93,   142.66
98.0,     2.68,     1.21,    -0.01,     0.47,   491.66,   136.86
100.0,     2.65,     1.20,    -0.01,     0.47,   483.87,   131.34
102.0,     2.62,     1.18,    -0.01,     0.47,   476.45,   126.06
104.0,     2.59,     1.17,    -0.02,     0.47,   469.45,   121.00
106.0,     2.56,     1.15,    -0.02,     0.47,   462.86,   116.12
108.0,     2.53,     1.14,    -0.01,     0.47,   456.66,   111.45
110.0,     2.50,     1.12,    -0.01,     0.47,   450.82,   107.04
112.0,     2.48,     1.11,    -0.01,     0.47,   445.34,   102.81
114.0,     2.45,     1.09,    -0.01,     0.47,   440.18,    98.76
116.0,     2.43,     1.07,    -0.01,     0.48,   435.27,    94.85
118.0,     2.40,     1.06,    -0.02,     0.48,   430.61,    91.13
120.0,     2.38,     1.05,    -0.02,     0.47,   426.16,    87.62
