r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.90,     0.66,     0.08,     0.20,   542.52,   309.89
-4.0,     1.08,     0.73,     0.09,     0.18,   624.43,   320.21
-3.0,     1.39,     0.77,     0.10,     0.16,   781.26,   310.14
-2.0,     1.77,     0.69,     0.08,     0.15,   982.19,   252.37
-1.0,     2.02,     0.57,     0.04,     0.14,  1106.82,   171.81
 0.0,     2.09,     0.52,    -0.00,     0.14,  1130.90,   143.02
 1.0,     2.00,     0.57,    -0.04,     0.14,  1098.06,   178.32
 2.0,     1.75,     0.69,    -0.08,     0.16,   970.63,   259.14
 3.0,     1.39,     0.76,    -0.10,     0.17,   779.54,   317.81
 4.0,     1.09,     0.73,    -0.09,     0.18,   632.19,   330.10
 5.0,     0.92,     0.66,    -0.08,     0.20,   553.86,   319.84
 6.0,     0.82,     0.59,    -0.08,     0.23,   515.61,   301.31
 7.0,     0.75,     0.53,    -0.08,     0.26,   495.48,   281.51
 8.0,     0.67,     0.48,    -0.09,     0.28,   479.12,   264.75
 9.0,     0.58,     0.45,    -0.10,     0.31,   464.51,   255.20
10.0,     0.52,     0.42,    -0.10,     0.33,   459.11,   258.40
11.0,     0.48,     0.42,    -0.09,     0.35,   464.62,   272.23
12.0,     0.46,     0.43,    -0.09,     0.36,   472.81,   287.47
13.0,     0.42,     0.42,    -0.09,     0.36,   471.22,   292.54
14.0,     0.35,     0.39,    -0.10,     0.34,   452.51,   279.42
15.0,     0.25,     0.32,    -0.12,     0.31,   419.87,   247.75
16.0,     0.16,     0.25,    -0.14,     0.27,   382.25,   201.34
17.0,     0.08,     0.18,    -0.16,     0.23,   347.51,   144.13
18.0,     0.04,     0.14,    -0.16,     0.20,   321.88,    85.70
19.0,     0.01,     0.12,    -0.16,     0.17,   307.76,    39.26
20.0,     0.01,     0.11,    -0.15,     0.15,   302.62,    13.85
