r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.24,     0.69,     0.02,     0.31,   602.36,   350.13
-4.5,     1.36,     0.74,     0.02,     0.29,   645.54,   367.94
-4.0,     1.50,     0.79,     0.02,     0.28,   704.92,   385.24
-3.5,     1.67,     0.84,     0.02,     0.27,   781.99,   397.88
-3.0,     1.86,     0.89,     0.04,     0.25,   878.03,   399.74
-2.5,     2.06,     0.91,     0.05,     0.24,   987.68,   383.25
-2.0,     2.25,     0.89,     0.06,     0.24,  1090.11,   343.95
-2.0,     2.25,     0.89,     0.06,     0.24,  1093.80,   342.46
-1.5,     2.41,     0.83,     0.05,     0.23,  1174.82,   282.85
-1.0,     2.50,     0.74,     0.04,     0.22,  1216.77,   228.75
-0.5,     2.53,     0.68,     0.02,     0.21,  1225.45,   202.00
 0.0,     2.53,     0.67,     0.01,     0.21,  1223.14,   196.03
 0.5,     2.53,     0.68,    -0.00,     0.21,  1223.40,   199.85
 1.0,     2.51,     0.72,    -0.02,     0.22,  1219.60,   223.49
 1.5,     2.44,     0.79,    -0.03,     0.24,  1189.22,   274.48
 2.0,     2.30,     0.84,    -0.04,     0.25,  1115.76,   335.27
 2.5,     2.11,     0.87,    -0.03,     0.26,  1012.00,   382.54
 3.0,     1.90,     0.86,    -0.02,     0.27,   904.88,   407.03
 3.5,     1.72,     0.83,    -0.01,     0.28,   811.81,   411.59
 4.0,     1.56,     0.78,    -0.01,     0.29,   735.65,   402.36
 4.5,     1.41,     0.74,    -0.02,     0.30,   674.77,   386.48
 5.0,     1.29,     0.69,    -0.02,     0.31,   628.48,   369.80
 5.5,     1.19,     0.64,    -0.03,     0.33,   595.09,   355.02
 6.0,     1.10,     0.60,    -0.04,     0.34,   573.15,   343.72
 6.5,     1.03,     0.57,    -0.05,     0.35,   560.03,   337.14
 7.0,     0.98,     0.54,    -0.06,     0.36,   552.12,   333.79
 7.5,     0.93,     0.52,    -0.06,     0.36,   547.55,   332.05
 8.0,     0.89,     0.50,    -0.07,     0.37,   545.81,   331.87
 8.5,     0.84,     0.48,    -0.07,     0.38,   546.02,   333.01
 9.0,     0.80,     0.47,    -0.07,     0.38,   546.78,   334.45
 9.5,     0.77,     0.46,    -0.07,     0.39,   547.41,   335.31
10.0,     0.73,     0.45,    -0.07,     0.39,   546.84,   335.06
10.5,     0.69,     0.44,    -0.07,     0.40,   543.85,   333.28
11.0,     0.65,     0.44,    -0.07,     0.40,   538.28,   329.87
11.5,     0.61,     0.43,    -0.07,     0.40,   530.34,   324.92
12.0,     0.57,     0.42,    -0.07,     0.40,   520.66,   318.79
12.5,     0.54,     0.41,    -0.08,     0.39,   509.46,   310.85
13.0,     0.50,     0.40,    -0.08,     0.38,   496.55,   301.28
13.5,     0.46,     0.40,    -0.08,     0.38,   482.75,   291.74
14.0,     0.42,     0.39,    -0.09,     0.37,   469.08,   282.59
14.5,     0.38,     0.38,    -0.09,     0.36,   455.42,   272.99
15.0,     0.34,     0.37,    -0.10,     0.35,   441.28,   262.31
15.5,     0.31,     0.35,    -0.10,     0.33,   426.75,   249.39
16.0,     0.27,     0.33,    -0.11,     0.32,   411.44,   233.23
16.5,     0.23,     0.31,    -0.12,     0.31,   395.05,   213.79
17.0,     0.20,     0.29,    -0.12,     0.29,   378.26,   189.91
18.0,     0.13,     0.23,    -0.13,     0.24,   350.46,   143.37
19.0,     0.08,     0.17,    -0.14,     0.20,   330.27,   104.09
20.0,     0.05,     0.13,    -0.14,     0.17,   316.03,    66.94
