r,Tmean02,Tmean04,Tmean06,Tmean08,Tmean10,Tmean12,Tmean14,Tmean16,Tmean18,Tmean20,Tmean30,Trms02,Trms04,Trms06,Trms08,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,Wmean02,Wmean04,Wmean06,Wmean08,Wmean10,Wmean12,Wmean14,Wmean16,Wmean18,Wmean20,Wmean30,Wrms02,Wrms04,Wrms06,Wrms08,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Vmean02,Vmean04,Vmean06,Vmean08,Vmean10,Vmean12,Vmean14,Vmean16,Vmean18,Vmean20,Vmean30,Vrms02,Vrms04,Vrms06,Vrms08,Vrms10,Vrms12,Vrms14,Vrms16,Vrms18,Vrms20,Vrms30
-73.4848,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,0.00303653091537037,0.00191105729898399,0.00191041618502357,0.00195850453152399,0.00189847043695708,0.0019161132534378,0.00198867543857715,0.0021404859261392,0.0022263086039451,0.002215842954724,0.00264655814219148,0.00056835,0.000300375,0.000310818,0.000319671,0.00032614,0.000330359,0.000332353,0.000329286,0.000320719,0.000307583,0.000220332,0.00129421791055448,0.000793340406130937,0.000800916974473634,0.000822270028640227,0.000851960092962106,0.000891032547104762,0.000938197740351148,0.000992677691902059,0.00105547619584716,0.00112604618022531,0.00152469669114877,-1.30443e-06,-1.95161e-06,-3.10572e-06,-3.29583e-06,-3.83997e-06,-3.59016e-06,-3.6254e-06,-4.4742e-06,-5.10019e-06,-5.66274e-06,-2.10048e-05,0.00055026902511408,0.000425751100996815,0.000431185574897862,0.000436827196955501,0.000443073357357447,0.000449866646907725,0.000457421031436028,0.000465581357015076,0.000474379594839407,0.000484084703331969,0.000543565083499667
-71.9697,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.149,0.00429123525339732,0.0035198579516793,0.00288282500336042,0.00290111530277581,0.00270575867364405,0.00272833465689237,0.00282391217993761,0.00304133523308431,0.00319609136289938,0.00335857112474933,0.00485125756891963,0.00115854,0.000868604,0.00069105,0.000696917,0.000675737,0.000683351,0.000686393,0.000679499,0.000670741,0.000685101,0.000720953,0.00179616257616063,0.00147453382463747,0.00121215923046438,0.00124197020898249,0.00122819786679509,0.00129195975169507,0.0013641517510893,0.00144469373917104,0.00155625833331102,0.00177559004277451,0.00305158647264009,-2.24402e-06,-4.73311e-06,-4.12472e-06,-4.15578e-06,-4.78409e-06,-4.4612e-06,-4.7239e-06,-6.53272e-06,-7.91679e-06,-9.1827e-06,-2.7198e-05,0.000543335991813537,0.000398715437373574,0.000265873466145082,0.000260520056809452,0.000231023375440668,0.000235658863614336,0.000241292146577546,0.000247658232247588,0.000265500847456275,0.000320825497739815,0.000574431893264989
-70.4545,298.151,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.149,0.00525296106972058,0.00466886495842405,0.00444288194756512,0.00447145390225595,0.00452082956989091,0.00455031867015927,0.00460331402361386,0.00472807571851382,0.00488750447570128,0.00501680177005231,0.00633073455453631,0.00174939,0.00147019,0.0013936,0.00141408,0.00142625,0.00143043,0.00142689,0.00141155,0.00138414,0.00134601,0.0012228,0.00218614729604389,0.00196297478333268,0.00193171944132682,0.00202092305642743,0.00212222289121572,0.00223688175816246,0.00236455704096983,0.00250474549605344,0.0026565767446095,0.00281868409013852,0.00403980197534483,-5.54804e-06,-8.39552e-06,-8.79014e-06,-8.73867e-06,-9.54535e-06,-9.89886e-06,-1.04132e-05,-1.17967e-05,-1.29344e-05,-1.3976e-05,-3.39294e-05,0.000538246226182776,0.000392849844088043,0.000332069269882053,0.000339374424493066,0.000347516906063576,0.000356505259428245,0.000366730146020204,0.00037841511597715,0.000391712905072069,0.000406289305790837,0.000608639466350975
-68.9394,298.151,298.151,298.151,298.151,298.151,298.151,298.151,298.15,298.15,298.15,298.149,0.00606139422905325,0.00591520921016324,0.00593808891816214,0.00594639386519258,0.00608591817230564,0.00612128254534946,0.00616227230816685,0.00621648614572573,0.00641205895169407,0.00665660574166745,0.00785352786969016,0.0023416,0.00225672,0.00229281,0.00231566,0.00232632,0.00232463,0.0023115,0.0022856,0.00224741,0.00219788,0.00186833,0.00251715712660136,0.00250805103616334,0.00261765352940377,0.00274098522433084,0.00288193337882748,0.00304102943096577,0.00321793411989742,0.00341172976655538,0.00362088386999639,0.0038435530437344,0.00509406517429842,-1.37547e-05,-1.43231e-05,-1.62115e-05,-1.61169e-05,-1.6798e-05,-1.80081e-05,-1.86855e-05,-1.9096e-05,-1.96337e-05,-2.00907e-05,-3.4849e-05,0.000537130338000005,0.000487205295537723,0.000496233815857001,0.000506765231640846,0.000518553758061785,0.000531559968394912,0.00054606593008537,0.000562564662949958,0.000581167789885159,0.000600865209510419,0.000737723525448389
-67.4242,298.152,298.151,298.151,298.151,298.151,298.151,298.151,298.151,298.151,298.15,298.149,0.00756264503993147,0.00710774929214586,0.00713440256783986,0.00712483684023711,0.00732353739664105,0.00738889707601886,0.00746363182371692,0.00741077593778141,0.00763713296990435,0.00800501717674609,0.00937842204211348,0.00307662,0.00312806,0.00317245,0.00319905,0.0032087,0.00320126,0.00317871,0.00314219,0.00309289,0.0030316,0.00262528,0.00306187850836704,0.00303218238237742,0.00316251482209965,0.00331279338323415,0.00348472380541127,0.00367869542093389,0.00389423933522325,0.00413006053224405,0.00438434715778758,0.00465475026182931,0.00617079411421253,-3.05186e-05,-2.6118e-06,-5.57638e-06,-5.6123e-06,-6.19553e-06,-8.29338e-06,-9.57987e-06,-9.09694e-06,-8.77757e-06,-8.58999e-06,-1.0985e-05,0.000552479863886459,0.000489201390022555,0.000499798959582751,0.000512496829258484,0.000526567184697262,0.000542235188824923,0.000559869627681302,0.000579755120719084,0.000602303909998931,0.000625740361491889,0.000795900747581003
-65.9091,298.152,298.152,298.152,298.152,298.152,298.152,298.151,298.151,298.151,298.15,298.149,0.00938506792729813,0.00864923117970609,0.00816353477361369,0.0081363935499704,0.00838007756527349,0.00848786781235429,0.00861890944377535,0.00843687738443555,0.00869042001286474,0.00919071270359378,0.0108899494948324,0.00392609,0.00398648,0.00403464,0.0040662,0.00407528,0.00406218,0.00403038,0.0039832,0.00392249,0.00384928,0.00336321,0.00370836891368699,0.00363063355352754,0.00362995867745075,0.00380336692944554,0.00400164965982781,0.00422541122259124,0.00447392445175374,0.0047456084962837,0.00503848191422774,0.00535227988804771,0.00748979973029987,-5.6779e-05,-5.72632e-06,2.11827e-05,2.08612e-05,2.03512e-05,1.73376e-05,1.50437e-05,1.63492e-05,1.77551e-05,1.82715e-05,-2.50666e-05,0.000581293385477592,0.000459866284913343,0.000367552717307327,0.000383709525552859,0.00040106233929403,0.00042059243930437,0.000442914212912614,0.000467494384993018,0.000495509838449248,0.000525023808983936,0.000875669458186135
-64.3939,298.153,298.153,298.153,298.153,298.153,298.153,298.152,298.152,298.152,298.151,298.149,0.0109071536158615,0.010275991436353,0.00997870232044227,0.0099368606712583,0.0101572634109784,0.0102684955081063,0.0103716922437951,0.0102176318195558,0.0103971630746084,0.0107759454341603,0.0123047958130153,0.00477543,0.00484979,0.00491341,0.00495193,0.00496391,0.00495026,0.0049135,0.00485702,0.00478303,0.00469394,0.00410001,0.00425794551397737,0.00423814818051469,0.00433405122258609,0.00454685605666157,0.00478744190565275,0.00505734119869324,0.00535594062700475,0.00568168108925519,0.00603229641181532,0.00640463894376568,0.00877537463587738,-7.60665e-05,-2.12613e-05,-9.47804e-07,-2.41962e-06,-3.09061e-06,-6.07342e-06,-9.20586e-06,-8.90751e-06,-8.52857e-06,-9.33915e-06,-5.02479e-05,0.000608318173327084,0.000497164962562729,0.000445151659549866,0.000465857274280439,0.000488600040933277,0.000513820007395586,0.000542069183776388,0.000573422183037943,0.000608515406542842,0.000644526182555837,0.00100501741278448
-62.8788,298.154,298.154,298.154,298.154,298.154,298.154,298.153,298.153,298.152,298.152,298.15,0.0122416910596535,0.0120270528393285,0.012044168713531,0.0119969579477466,0.0121617844085479,0.0122660099461887,0.0123036173542581,0.0122472445880696,0.0123114174651012,0.012491717255846,0.0136932465105978,0.00562392,0.00571982,0.00580216,0.00585004,0.00586812,0.00585784,0.00581893,0.00575347,0.00566381,0.00555501,0.00483195,0.00474513435004742,0.00487659717425994,0.00510701478360891,0.00536339444754905,0.00565389246448851,0.00597857842634852,0.0063370340065365,0.00672765932550096,0.00714788779990285,0.00759414906358836,0.010102524436991,-4.74676e-05,-2.02945e-05,-2.22959e-05,-2.42782e-05,-2.41292e-05,-2.51553e-05,-2.78346e-05,-2.86104e-05,-2.9668e-05,-3.26095e-05,-4.076e-05,0.000631369939100683,0.000600988352632561,0.000622509437679462,0.000646499033255271,0.000673896876383917,0.000704178244480756,0.000737718103343005,0.00077548823330854,0.000817362832529104,0.000861753445017773,0.00118464340626199
-61.3636,298.156,298.155,298.155,298.155,298.155,298.155,298.154,298.154,298.153,298.153,298.15,0.0140879381032144,0.013822047605185,0.0138025359988663,0.0137209693535114,0.0138883044321472,0.0139753711936392,0.0140316784455745,0.0140290413072312,0.0139954278248291,0.0140136005366216,0.0151049991724594,0.00656494,0.00656889,0.00666684,0.00672592,0.00675099,0.00674454,0.00670358,0.0066289,0.00652277,0.00639387,0.00553576,0.00537417900706703,0.00552348621796054,0.00578469532473405,0.00607916112633972,0.006412425438163,0.00678418012732563,0.00719425465215126,0.0076409488939529,0.00812147154153729,0.00863165685138143,0.0115016520552484,-5.20958e-05,-8.85127e-06,-7.63734e-06,-1.08926e-05,-1.03228e-05,-9.48585e-06,-1.27771e-05,-1.52176e-05,-1.746e-05,-2.31483e-05,-4.53956e-05,0.000662887622451951,0.000606793210245467,0.000633127949154039,0.000660993192098073,0.000693452954424451,0.000729312690140518,0.000768697599840145,0.000812850539767306,0.000862303310906319,0.000915179217421375,0.00129625614752641
-59.8485,298.157,298.157,298.157,298.156,298.157,298.156,298.156,298.155,298.154,298.154,298.151,0.0161369761727531,0.0158125266798194,0.0154789857548872,0.0153544130464176,0.0155378569950943,0.0156085553463477,0.0157145792180383,0.0157304799672483,0.0156160814547056,0.0155482796476009,0.0165246179986104,0.00758161,0.00754082,0.00754808,0.00761258,0.00764306,0.00763845,0.00759366,0.00750837,0.0073851,0.00724267,0.0063119,0.00606138598012039,0.00621718585856978,0.00643039656630911,0.00675739594814452,0.00713236987262999,0.00755037747400751,0.00801123585971603,0.00851310166743003,0.00904933146702009,0.00963838160688816,0.013187266585612,-8.20177e-05,-1.87214e-05,2.11586e-05,1.80999e-05,1.85218e-05,2.07175e-05,1.60354e-05,1.14786e-05,8.2773e-06,-4.12879e-06,-7.75798e-05,0.000699877132073909,0.000612423056391576,0.00056222949051077,0.000591312100332811,0.000630865278803644,0.000674599881411196,0.00072207409592091,0.000774406869804239,0.000833198655783841,0.000905286142609065,0.0014546924073494
