z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
2,-4,1.46471,1.63733,3.82005,1.60356,0.347419,0.33767
2,-2,1.34796,1.34675,4.3637,1.57431,0.339895,0.333476
2,0,1.27873,1.27873,3.5912,3.5912,0.336395,0.336395
2,2,1.26244,1.02914,3.70507,5.38799,0.338408,0.334024
2,4,1.40724,1.21437,4.75553,5.00646,0.344269,0.325745
2,6,1.66606,2.22881,5.78366,4.20195,0.353193,0.336137
2,8,1.60317,3.72203,5.6977,2.37395,0.372441,0.384553
2,10,1.33394,9.40351,6.27037,1.96467,0.395276,0.473386
2,12,0.678281,-21.6838,2.19915,0.415787,0.390551,0.507388
2,14,0.720362,2.0405,1.33065,0.25541,0.295276,0.624191
2,16,0.4819,0.418797,1.02199,0.325338,0.0256605,0.0924945
