z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
12,-4,0.045811999,159.5652793,33.59025882
12,-2,0.02450846,121.813414,12.39375762
12,0,0.020121046,82.03779454,2.442202532
12,2,0.01193289,85.31052642,6.232918988
12,4,0.046799233,138.612517,25.52818779
12,6,0.059078074,181.8010611,47.50549392
12,8,0.078261531,148.5658778,71.52084655
12,10,0.06254966,106.0685021,77.71747762
12,12,0.049228653,79.49430468,62.34576192
12,14,0.045043058,57.6924012,57.92448121
12,16,0.01663921,8.912054124,12.77603402
