z (cm),r (cm),U-integral time (s),U-integral length (cm),U-Taylor time (s),U-Taylor length (cm),V-integral time (s),V-integral length (cm),V-Taylor time (s),V-Taylor length (cm),T-integral time (s),T-integral length (cm),T-Taylor time (s),T-Taylor length (cm)
12,-4,0.03979,5.486,0.0191,2.634,0.0156,2.151,0.01048,1.445,0.05809,8.011,0.02562,3.533
12,-2,0.0427,6.768,0.02174,3.446,0.02068,3.278,0.01165,1.847,0.04875,7.728,0.02373,3.761
12,0,0.04137,6.692,0.02077,3.36,0.03724,6.024,0.01182,1.912,0.04471,7.233,0.02303,3.725
12,2,0.04321,6.878,0.02125,3.383,0.038,6.049,0.01429,2.275,0.04333,6.898,0.02244,3.573
12,4,0.04709,6.937,0.02228,3.281,0.07279,10.72,0.02135,3.145,0.0885,13.04,0.02629,3.873
12,6,0.04104,5.87,0.02028,2.901,0.02026,2.899,0.01312,1.877,0.05328,7.621,0.02803,4.009
12,8,0.04573,4.551,0.02059,2.049,0.02237,2.226,0.01307,1.3,0.05249,5.224,0.0329,3.274
12,10,0.05556,4.483,0.0227,1.831,0.03342,2.696,0.01602,1.293,0.05336,4.306,0.03574,2.884
12,12,0.1332,7.224,0.02805,1.522,0.06807,3.692,0.02532,1.374,0.05966,3.237,0.0398,2.159
12,14,0.1016,3.495,0.02339,0.8046,0.05848,2.012,0.02224,0.765,0.06409,2.205,0.04064,1.398
12,16,0.2492,3.467,0.03304,0.4596,0.2631,3.661,0.03979,0.5535,0.07577,1.054,0.03629,0.5049
